time,project,amount_usd
2024-10-14 00:00:00.000 UTC,pumpdotfun,1.1171406778083196e+09
2024-11-04 00:00:00.000 UTC,lifinity,1.1223563133014028e+09
2024-07-29 00:00:00.000 UTC,raydium,9.467523993919931e+09
2022-12-26 00:00:00.000 UTC,raydium,2.8211142927646004e+07
2022-11-07 00:00:00.000 UTC,lifinity,1.02542962403508e+08
2022-10-31 00:00:00.000 UTC,meteora,28436.834362197995
2024-04-29 00:00:00.000 UTC,pumpdotfun,2.4248488059663042e+08
2023-01-02 00:00:00.000 UTC,whirlpool,3.656686818310302e+08
2024-03-11 00:00:00.000 UTC,meteora,2.6369980904695516e+09
2023-11-27 00:00:00.000 UTC,goosefx_ssl,2.1518928001725987e+07
2023-12-25 00:00:00.000 UTC,lifinity,8.691377949949361e+08
2024-01-22 00:00:00.000 UTC,raydium,1.8496572248807344e+09
2024-05-06 00:00:00.000 UTC,raydium,5.746441720250898e+09
2024-05-20 00:00:00.000 UTC,lifinity,8.892263610789578e+08
2025-02-03 00:00:00.000 UTC,lifinity,2.8485925947789354e+09
2023-09-25 00:00:00.000 UTC,lifinity,2.5828736443699107e+07
2024-04-29 00:00:00.000 UTC,whirlpool,2.174891605316862e+09
2024-12-09 00:00:00.000 UTC,pumpdotfun,2.0538377779124198e+09
2024-02-19 00:00:00.000 UTC,goosefx_ssl,1.6129110885296257e+07
2024-10-21 00:00:00.000 UTC,meteora,2.0110329374705954e+09
2024-12-23 00:00:00.000 UTC,raydium,2.0540541359925907e+10
2023-12-18 00:00:00.000 UTC,meteora,4.0980145569705963e+08
2023-03-20 00:00:00.000 UTC,whirlpool,1.8559598834411454e+08
2023-09-18 00:00:00.000 UTC,meteora,4.220926140440753e+06
2023-11-06 00:00:00.000 UTC,whirlpool,6.980799926459898e+08
2025-01-27 00:00:00.000 UTC,whirlpool,7.974134103966095e+09
2022-08-01 00:00:00.000 UTC,meteora,30.172437076925
2023-04-03 00:00:00.000 UTC,whirlpool,8.979620756146583e+07
2023-12-04 00:00:00.000 UTC,raydium,8.353085072244945e+08
2023-09-11 00:00:00.000 UTC,lifinity,3.1218393482126705e+07
2024-07-22 00:00:00.000 UTC,whirlpool,3.3877863568257537e+09
2024-10-21 00:00:00.000 UTC,whirlpool,4.773342209620246e+09
2024-02-26 00:00:00.000 UTC,raydium,3.232573245440845e+09
2024-02-26 00:00:00.000 UTC,lifinity,1.4207539647613678e+09
2023-07-24 00:00:00.000 UTC,lifinity,2.827226069928809e+07
2023-07-10 00:00:00.000 UTC,meteora,8.636072829656184e+06
2024-03-04 00:00:00.000 UTC,lifinity,1.7025332532104523e+09
2024-07-01 00:00:00.000 UTC,phoenix,7.578678273754159e+08
2023-06-19 00:00:00.000 UTC,lifinity,3.123909934332602e+07
2024-12-30 00:00:00.000 UTC,raydium,2.775489429781959e+10
2022-09-26 00:00:00.000 UTC,whirlpool,1.2855794989326788e+08
2023-09-04 00:00:00.000 UTC,meteora,3.551061038885348e+06
2023-04-03 00:00:00.000 UTC,meteora,914110.0961913238
2024-10-07 00:00:00.000 UTC,raydium,7.965119682366697e+09
2024-09-23 00:00:00.000 UTC,phoenix,5.382459264075774e+08
2023-11-13 00:00:00.000 UTC,raydium,4.9011251144864553e+08
2023-06-26 00:00:00.000 UTC,meteora,3.7044275504477895e+06
2023-07-17 00:00:00.000 UTC,meteora,5.310291573874059e+06
2024-10-14 00:00:00.000 UTC,meteora,1.5214394857418337e+09
2024-11-04 00:00:00.000 UTC,whirlpool,4.98655849551046e+09
2023-11-20 00:00:00.000 UTC,whirlpool,8.217226747949885e+08
2023-11-20 00:00:00.000 UTC,phoenix,8.532452139270014e+07
2023-05-15 00:00:00.000 UTC,phoenix,2.718794776450309e+06
2024-01-15 00:00:00.000 UTC,phoenix,2.6121160200491717e+08
2023-11-06 00:00:00.000 UTC,goosefx_ssl,3.7084794408442385e+07
2023-11-06 00:00:00.000 UTC,phoenix,7.558637192355938e+07
2022-10-17 00:00:00.000 UTC,lifinity,2.0101811027597584e+07
2024-10-28 00:00:00.000 UTC,lifinity,1.5360349558587258e+09
2024-07-08 00:00:00.000 UTC,pumpdotfun,4.5999192520139104e+08
2025-01-13 00:00:00.000 UTC,raydium,4.4536989032635864e+10
2023-06-05 00:00:00.000 UTC,meteora,4.609251260298617e+06
2024-02-05 00:00:00.000 UTC,raydium,1.4090948767061548e+09
2024-01-15 00:00:00.000 UTC,goosefx_ssl,1.0782789696766462e+07
2024-02-19 00:00:00.000 UTC,meteora,5.488244773922309e+08
2023-09-11 00:00:00.000 UTC,whirlpool,7.670842291641933e+07
2023-12-11 00:00:00.000 UTC,meteora,4.134063737524847e+08
2024-02-26 00:00:00.000 UTC,whirlpool,4.530035177293101e+09
2024-04-08 00:00:00.000 UTC,lifinity,1.3948011582134519e+09
2023-05-22 00:00:00.000 UTC,raydium,6.402494631881394e+07
2022-07-04 00:00:00.000 UTC,raydium,1.2515045830581453e+08
2025-01-06 00:00:00.000 UTC,meteora,4.415316610532261e+09
2022-08-22 00:00:00.000 UTC,lifinity,3.1096373790843736e+07
2024-04-29 00:00:00.000 UTC,goosefx_ssl,915839.6797487156
2023-11-27 00:00:00.000 UTC,raydium,3.847901538721434e+08
2023-05-22 00:00:00.000 UTC,phoenix,2.882695858799204e+06
2022-10-17 00:00:00.000 UTC,whirlpool,7.729947366582899e+07
2024-10-07 00:00:00.000 UTC,pumpdotfun,6.576774710697488e+08
2023-12-18 00:00:00.000 UTC,lifinity,9.880742960295155e+08
2022-07-18 00:00:00.000 UTC,whirlpool,2.635580088801602e+08
2024-03-11 00:00:00.000 UTC,lifinity,3.0316859601087623e+09
2024-02-05 00:00:00.000 UTC,phoenix,2.7451389756530416e+08
2023-09-04 00:00:00.000 UTC,whirlpool,6.220040498581984e+07
2024-09-30 00:00:00.000 UTC,phoenix,6.076240393029007e+08
2023-11-20 00:00:00.000 UTC,raydium,4.7696177664081264e+08
2023-11-27 00:00:00.000 UTC,whirlpool,6.636968672168727e+08
2023-03-27 00:00:00.000 UTC,raydium,3.204979605699364e+07
2023-07-10 00:00:00.000 UTC,lifinity,1.0412703054206607e+08
2024-10-14 00:00:00.000 UTC,raydium,1.2608843740336826e+10
2024-07-15 00:00:00.000 UTC,phoenix,5.74697069469342e+08
2023-10-30 00:00:00.000 UTC,phoenix,5.186610359756947e+07
2022-07-11 00:00:00.000 UTC,raydium,1.605086270256878e+08
2023-01-09 00:00:00.000 UTC,meteora,1.8476411663369194e+06
2024-02-19 00:00:00.000 UTC,whirlpool,2.08453533685506e+09
2023-04-10 00:00:00.000 UTC,lifinity,4.0458033125605255e+07
2024-07-15 00:00:00.000 UTC,pumpdotfun,6.116389919751742e+08
2023-10-30 00:00:00.000 UTC,goosefx_ssl,1.0267568196560122e+07
2024-10-14 00:00:00.000 UTC,whirlpool,3.1657080828246446e+09
2025-01-20 00:00:00.000 UTC,meteora,1.930836873778095e+10
2025-01-13 00:00:00.000 UTC,whirlpool,3.657005793105347e+10
2024-01-22 00:00:00.000 UTC,goosefx_ssl,3.686350194740753e+07
2023-06-12 00:00:00.000 UTC,whirlpool,7.390928217012967e+07
2024-02-12 00:00:00.000 UTC,raydium,1.5599473781576152e+09
2024-09-02 00:00:00.000 UTC,lifinity,5.224514253501278e+08
2023-12-04 00:00:00.000 UTC,meteora,2.421951144714178e+08
2024-02-19 00:00:00.000 UTC,raydium,1.3124769294420645e+09
2023-08-21 00:00:00.000 UTC,phoenix,8.240228742721279e+06
2024-03-04 00:00:00.000 UTC,meteora,1.8838077202991755e+09
2024-01-22 00:00:00.000 UTC,phoenix,2.9263198544759095e+08
2023-06-05 00:00:00.000 UTC,whirlpool,1.6082323557992804e+08
2023-04-10 00:00:00.000 UTC,meteora,2.8465605229662205e+06
2023-10-09 00:00:00.000 UTC,lifinity,1.77077172423225e+07
2022-10-24 00:00:00.000 UTC,lifinity,2.797294754243443e+07
2024-09-30 00:00:00.000 UTC,pumpdotfun,6.84301159489425e+08
2024-02-26 00:00:00.000 UTC,meteora,1.5276442339084053e+09
