project,_col1,usd_volume
maverick,2024-07-15 00:00:00.000 UTC,1.2465620937899241e+08
dodo,2024-06-10 00:00:00.000 UTC,1.0346996239422511e+09
velodrome,2025-01-13 00:00:00.000 UTC,7.185312909284675e+08
derpdex,2025-02-03 00:00:00.000 UTC,6070.528501124556
rubicon,2024-02-12 00:00:00.000 UTC,970.3433054206653
iziswap,2024-09-30 00:00:00.000 UTC,1.8579034970221825e+07
biswap,2024-04-15 00:00:00.000 UTC,1.9132862984816533e+07
secta,2024-07-15 00:00:00.000 UTC,45702.25052388587
mummy_finance,2024-08-05 00:00:00.000 UTC,1.2652995838350444e+06
mdex,2024-12-30 00:00:00.000 UTC,2.712166055103878e+07
chronos,2024-08-12 00:00:00.000 UTC,16535.88755140689
zkswap_finance,2024-12-16 00:00:00.000 UTC,1.0181565259259699e+07
rcpswap,2024-07-29 00:00:00.000 UTC,88758.53890085005
wagmi,2024-09-09 00:00:00.000 UTC,5213.248618480114
rocketswap,2024-12-23 00:00:00.000 UTC,423690.14063753624
beethoven_x,2024-08-05 00:00:00.000 UTC,7.317220786180649e+06
auragi,2025-01-20 00:00:00.000 UTC,852.9820506734102
wardenswap,2024-02-19 00:00:00.000 UTC,68826.4516727948
nomiswap,2024-11-18 00:00:00.000 UTC,312656.29257414385
rocketswap,2024-07-01 00:00:00.000 UTC,300888.8273246219
elk_finance,2024-02-12 00:00:00.000 UTC,71356.88251309643
horizondex,2024-05-20 00:00:00.000 UTC,80370.67677135725
shibaswap,2024-02-19 00:00:00.000 UTC,1.1734791042336367e+07
wardenswap,2024-09-23 00:00:00.000 UTC,2037.247301088818
ubeswap,2024-04-08 00:00:00.000 UTC,1.2034259567647374e+06
wardenswap,2024-12-23 00:00:00.000 UTC,14848.632539312712
nomiswap,2024-06-17 00:00:00.000 UTC,5545.9256563374765
rubicon,2024-04-01 00:00:00.000 UTC,0.049179093348000004
glacier,2025-01-13 00:00:00.000 UTC,1942.9520876726212
agni,2024-05-27 00:00:00.000 UTC,4.577686482048128e+07
iziswap,2024-10-28 00:00:00.000 UTC,1.546009535525916e+07
alienbase,2024-05-27 00:00:00.000 UTC,904715.6830479242
dooar,2024-07-01 00:00:00.000 UTC,1.6357897721264747e+06
quickswap,2024-09-30 00:00:00.000 UTC,2.4050681015996054e+08
autotronic,2024-12-02 00:00:00.000 UTC,11.209654313336905
wombat,2024-09-23 00:00:00.000 UTC,916394.7680419643
klay_swap,2025-01-13 00:00:00.000 UTC,4.515697139754803e+06
spartadex,2024-11-25 00:00:00.000 UTC,74313.94227292287
mauve,2024-04-01 00:00:00.000 UTC,15771.999007224811
velodrome,2024-08-05 00:00:00.000 UTC,3.186219516002272e+08
oku,2024-10-14 00:00:00.000 UTC,1.3764445744125918e+07
flashliquidity,2025-01-06 00:00:00.000 UTC,140.19869737344192
horizondex,2024-04-29 00:00:00.000 UTC,43119.264289536964
throne_exchange,2024-08-05 00:00:00.000 UTC,56.396651429084116
camelot,2024-04-15 00:00:00.000 UTC,5.809792930661681e+08
akronswap,2024-11-04 00:00:00.000 UTC,1091.7545023990554
scrollswap,2024-04-08 00:00:00.000 UTC,32304.88655183602
solidlizard,2024-06-03 00:00:00.000 UTC,7802.009050363612
arbswap,2024-05-20 00:00:00.000 UTC,66910.23282727916
blazeswap,2025-02-03 00:00:00.000 UTC,541.6630403954007
auragi,2024-05-13 00:00:00.000 UTC,686.4232189505472
elk_finance,2024-05-13 00:00:00.000 UTC,50673.38555136086
zebra,2024-05-27 00:00:00.000 UTC,4.682527199211207e+06
swaap,2024-10-28 00:00:00.000 UTC,8.910357776926616e+07
uniswap,2024-04-15 00:00:00.000 UTC,1.7797942585241035e+10
openocean,2024-09-30 00:00:00.000 UTC,2.918843729291168e+07
openocean,2024-07-01 00:00:00.000 UTC,4.463792386972051e+06
thruster,2025-01-27 00:00:00.000 UTC,1.1784029945677109e+08
balancer,2024-06-24 00:00:00.000 UTC,8.734574367712169e+08
verse_dex,2024-09-23 00:00:00.000 UTC,160590.2874828852
auragi,2024-03-11 00:00:00.000 UTC,1654.5445420267397
synthetix,2024-09-16 00:00:00.000 UTC,230832.0772250145
tropicalswap,2024-12-02 00:00:00.000 UTC,53.160250080707996
honeyswap,2024-12-23 00:00:00.000 UTC,156123.7318778184
vesync,2024-04-01 00:00:00.000 UTC,798254.0522117965
spiritswap,2025-01-20 00:00:00.000 UTC,1.177464299484595e+06
merchant_moe,2024-12-23 00:00:00.000 UTC,786627.1686752939
swapbased,2024-05-13 00:00:00.000 UTC,533237.9052630722
blazeswap,2024-11-04 00:00:00.000 UTC,2405.545935010684
blasterswap,2024-04-29 00:00:00.000 UTC,2.0856379894878205e+07
oasisswap,2025-01-13 00:00:00.000 UTC,2434.060990656158
arbswap,2024-12-23 00:00:00.000 UTC,10131.606196597064
jelly_swap,2024-12-23 00:00:00.000 UTC,9.017048980508015e+06
zipswap,2024-12-02 00:00:00.000 UTC,16818.261721606952
derpdex,2024-09-02 00:00:00.000 UTC,5889.735560787494
xei_finance,2024-07-22 00:00:00.000 UTC,3.5492361116352607e+06
wagmi,2024-04-08 00:00:00.000 UTC,143655.06821574454
wardenswap,2024-04-22 00:00:00.000 UTC,17967.257237668495
defiswap,2025-02-03 00:00:00.000 UTC,895243.5219268901
fenix,2024-11-11 00:00:00.000 UTC,22380.966063406657
blasterswap,2024-02-26 00:00:00.000 UTC,1.5579073484974003e+06
ellipsis_finance,2024-05-13 00:00:00.000 UTC,165253.00110725124
shibaswap,2024-12-23 00:00:00.000 UTC,1.2967389826327065e+07
spartacus_exchange,2024-06-17 00:00:00.000 UTC,125.19353097679196
sushiswap,2024-09-30 00:00:00.000 UTC,1.4881692707067734e+08
gmx,2024-04-01 00:00:00.000 UTC,1.7418156724734887e+07
balancer,2024-08-26 00:00:00.000 UTC,4.2116489195267665e+08
spartadex,2024-09-30 00:00:00.000 UTC,18557.672425226017
solidly,2024-08-26 00:00:00.000 UTC,4.847137948997072e+07
syncswap,2024-09-09 00:00:00.000 UTC,9.72588421929705e+06
uniswap,2024-07-08 00:00:00.000 UTC,1.2061829725753675e+10
smardex,2024-07-01 00:00:00.000 UTC,274363.82009629975
mummy_finance,2024-03-04 00:00:00.000 UTC,1.1345895038624392e+06
echodex,2024-08-26 00:00:00.000 UTC,9844.160863512852
leetswap,2025-02-03 00:00:00.000 UTC,16.68609727680331
stablebase,2024-06-17 00:00:00.000 UTC,267.7645580843389
0x-API,2024-03-18 00:00:00.000 UTC,2.5798816343053406e+08
smardex,2025-02-03 00:00:00.000 UTC,106932.35381380936
integral,2024-09-09 00:00:00.000 UTC,3.409832550135614e+07
iziswap,2024-07-29 00:00:00.000 UTC,1.9574119398090616e+07
camelot,2024-07-08 00:00:00.000 UTC,1.055814511414225e+09
babyswap,2024-11-25 00:00:00.000 UTC,7.204983176697058e+06
auragi,2024-06-17 00:00:00.000 UTC,935.9717693982025
swapr,2024-04-22 00:00:00.000 UTC,70.99646760821364
beethoven_x,2024-08-26 00:00:00.000 UTC,6.794893039775754e+06
swapbased,2024-11-25 00:00:00.000 UTC,8.992933465110468e+06
