product_name,avg_volume_7d,avg_volume_30d,avg_volume_90d,volume_change_7d_pct,volume_change_30d_pct,volume_change_90d_pct,market_share_7d,market_share_30d,market_share_90d,volume_to_tvl_ratio,label,average_tvl
Quenta,4,30.6,24.711111111111112,-0.7052631578947368,-0.2970903522205206,-0.9058787319175131,4.2131689668494977e-10,2.306387295207181e-09,2.2217755977854063e-09,0.0,0.0,0
Morphex V2,0,133.33333333333334,503119.27777777775,0.0,-0.9998362131899893,-0.004227084174630173,0,1.0049617844040004e-08,4.523544607589369e-05,0.0,0.0,0
Swych Perpetual,0,0,4300.922222222222,0.0,-1,0.3966149272256259,0,0,3.8669584699530957e-07,0.0,0.0,0
Gambit Trade,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0
SynFutures V1,0,0,0.14444444444444443,0.0,0.0,0.0,0,0,1.2986997648925485e-11,0.0,0.0,0
GooseFX,0,0,0,0.0,0.0,-1,0,0,0,0.0,0.0,0
Y2K V2,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0
Metavault Derivatives V2,0,0,0,0.0,0.0,-1,0,0,0,0.0,0.0,0
Hyperion Exchange,0,1066.8666666666666,499.4,0.0,2.7662979524594022,-0.9984208519220346,0,8.041201717908607e-08,4.4901045871431146e-08,0.0,0.0,0
Voodoo Trade Base,0,0,0,0.0,0.0,-1,0,0,0,0.0,0.0,0
Nether.Fi,0,0,9.71111111111111,0.0,-1,-0.9969378888951174,0,0,8.731258419354518e-10,0.0,0.0,0
UrDEX Finance,0,4.866666666666666,199.51111111111112,0.0,-0.9793610404297427,-0.5666151766750338,0,3.668110513074601e-10,1.7938040752623543e-08,0.0,0.0,0
Increment Protocol,0,792.5666666666667,758.0333333333333,-1,3.6285769904613594,0.6148984519244426,0,5.97374408694348e-08,6.81547646617418e-08,0.0,0.0,0
wefi,0,1038.4666666666667,1394.8222222222223,0.0,0.2926970954356846,-0.9772193172872524,0,7.827144857830556e-08,1.254084432969394e-07,0.0,0.0,0
Mu Exchange,0,8147.066666666667,20465.8,-1,-0.7465723099256034,-0.7146140083973967,0,6.140617991243763e-07,1.840079744884933e-06,0.0,0.0,0
