token_pair,one_day_volume,dau_1d,prev_volume_1d,volume_change_1d_pct,seven_day_volume,dau_7d,prev_volume_7d,volume_change_7d_pct,thirty_day_volume,dau_30d,prev_volume_30d,volume_change_30d_pct
GYD-_C,759582.7346084013,52,1.1243514008764692e+06,-0.32442585652823364,1.151517017035562e+07,269,1.833795032737946e+07,-0.37205794732888414,9.596517036704959e+07,807,6.139041507099338e+07,0.5631946820374666
_0-_T,2.825391715478895e+06,529,1.7533892985023446e+06,0.6113887075119029,1.1239035346101195e+07,1152,2.10783235495549e+07,-0.4667965258395266,9.160714386429277e+07,2731,8.277835990357055e+07,0.10665570048750632
PEPU-WETH,1.366469643802707e+06,1099,1.6318517954408966e+06,-0.16262638088803164,1.1070255390265908e+07,5474,4.896691129687759e+07,-0.7739237559185846,9.965839057816721e+07,21798,1.8245781950498325e+08,-0.4538003860369198
eBTC-WBTC,736944.5978144702,29,2.431912414603193e+06,-0.6969691040724775,1.0953228258656794e+07,182,2.130265896436425e+07,-0.4858281176551859,5.101571244597925e+07,713,6.471372925945916e+07,-0.21167095406540304
LLD-_T,50993.71855898845,62,1.0724324481967913e+07,-0.9952450414341034,1.077783551160433e+07,532,6392.235008975612,1685.0824885929112,1.0796391278649108e+07,535,2258.7469556557357,4778.814423929047
ETH-_T,1.0001333040299334e+06,1331,5.868981973749287e+06,-0.8295899853665734,1.05990805245584e+07,6369,2.0439513213228896e+07,-0.48144163640362797,5.500881142045423e+07,7967,4.37289309199999e+06,11.579500633365667
STRATEGY-WETH,675.9057777204653,8,2375.871911532579,-0.7155125348131811,1.0536755200250175e+07,2146,0,Infinity,1.0536755200250175e+07,2146,0,Infinity
MKR-WETH,1.586385755730902e+06,186,2.299189193115058e+06,-0.3100238290605453,1.0343151429771317e+07,574,2.416076871396876e+07,-0.5719030486065896,5.502147394000661e+07,1302,1.783528747607327e+07,2.0849782496536737
BANANA-WETH,4.453108921294321e+06,253,2.37740157859928e+06,0.8730991690171285,1.0267367646657549e+07,640,6.9319725451534875e+06,0.481161037464872,3.477385362305452e+07,1564,2.511816662601793e+07,0.3844105002088417
BOME-WETH,269425.7190811414,19,197346.28790362956,0.36524341016594397,1.0260074783808224e+07,361,2.098085062744469e+06,3.8902091559563354,2.9929947485408615e+07,530,3.8177906727908686e+07,-0.21604011192344066
HARRY-WETH,1.0095971324465057e+07,2582,3422.982331745353,2948.4663851557766,1.0127144318374304e+07,2616,153.63343289572404,65916.58139810573,1.0127881448295737e+07,2622,2293.7322344948275,4414.459353095025
_T-VEE,3.1634841777268196e+06,772,1.8853110287831626e+06,0.6779640756510236,9.78672289336027e+06,2120,1.4847816309502996e+06,5.591355044644853,1.3030362004713932e+07,2520,760445.1309780895,16.135177113901953
